time;MarchSept;Arctic_Temp_Anomalies;AMOC_Caesar;SI_Conc;AMOC_era5;AMOC_hadcrut5;AMOC_hadsst4;AMOC_cobe;AMOC_ersst;SI_Conc_0;SI_Conc_50;SI_Conc_75;SI_Conc_90
01.01.1993;1;-4.2238617;-0.837152;-101.3155398;-0.657371215;-0.749609415;-0.006027826;-0.426075678;-0.597996726;-14.50198442;-79.02475965;-87.71150542;-29.08120483
01.02.1993;1;-1.9308777;-0.47061163;-152.1506091;-0.340607888;-0.691837783;-0.033865448;-0.298277905;-0.446726918;-18.13382092;-152.3171539;-115.7577737;-37.34440499
01.03.1993;0;-4.2748413;-0.44605386;-151.4907186;-0.301582903;-0.933573716;-0.414964246;-0.409253756;-0.477623984;-58.25113681;-149.8196649;-120.5455404;-37.74810161
01.04.1993;0;-1.0591431;-0.47516882;-133.662981;-0.332974681;-0.625105238;-0.238877832;-0.527961484;-0.488659961;-49.59349981;-104.0294074;-102.4206199;-29.52180355
01.05.1993;0;-0.52389526;-0.6323365;-16.04493778;-0.571754774;-0.423816952;-0.457443316;-0.505389686;-0.468063956;45.17588624;17.93587698;-21.812696;-13.81442359
01.06.1993;0;-0.032562256;-0.406831;173.1410161;-0.365722189;-0.28488079;-0.581172659;-0.482583024;-0.576265967;163.7764222;162.8004429;163.4119271;72.93921483
01.07.1993;0;-0.09439087;-0.31413376;217.3193384;-0.311032061;-0.286419777;-0.203846235;-0.34872155;-0.327830235;216.9584894;217.5236499;158.3971461;-27.95308906
01.08.1993;0;-0.34509277;-0.16799511;-8.324929036;-0.100472378;0.170473393;-0.023754741;-0.05063109;-0.062999446;-19.4359084;10.93539332;-27.31868975;-44.87691831
01.09.1993;0;-1.6730042;-0.18454795;-120.2960521;-0.065786928;0.3267516;0.035354981;-0.003914185;-0.066791176;-56.36499579;-48.42840815;-113.3195567;-42.29021847
01.10.1993;1;-3.8203735;-0.21547005;185.8665054;-0.112309282;0.209219563;0.231238794;0.070384393;0.044301704;221.3552156;230.6801079;103.9954609;-28.11191491
01.11.1993;1;-3.23909;-0.37847754;557.994489;-0.232373707;-0.112647505;-0.177814075;-0.187595691;-0.186324906;504.4573195;521.1954216;551.4060018;342.6475878
01.12.1993;1;-4.126007;-0.5584651;172.0199368;-0.435345613;-0.110029369;-0.34662656;-0.357379755;-0.46216453;124.5556561;143.5270124;149.5748244;104.9305708
01.01.1994;1;-2.403183;-0.7116535;-27.82864994;-0.528358512;-0.357647439;-0.520390182;-0.347518373;-0.31745383;-9.625967363;16.62870033;-56.34608953;-24.75520422
01.02.1994;1;-2.1259918;-0.67050576;-101.4682627;-0.512742332;-0.103835904;-0.250774131;-0.354455998;-0.383420279;-74.65899936;-50.55406913;-95.76817217;-34.81286233
01.03.1994;0;-2.9452362;-0.40891355;-130.206253;-0.242024136;-0.341793282;-0.300981552;-0.324906063;-0.396384809;-167.7181393;-123.1837034;-110.7535929;-36.41775015
01.04.1994;0;-1.9974823;-0.48372445;-163.893609;-0.363107454;-0.535947734;-0.605448578;-0.398425474;-0.505027678;-189.4381803;-173.808252;-112.4721102;-33.34582327
01.05.1994;0;-1.8161316;-0.34191585;-57.67821799;-0.273261256;-0.070370903;0.359342361;-0.409398839;-0.578296723;-43.51302903;-43.19353364;-51.91965721;-21.58845222
01.06.1994;0;-0.459198;-0.43978107;114.4007937;-0.457413816;-0.844933585;-0.330387392;-0.526955763;-0.596530063;3.796391578;48.5385571;124.7418575;83.15095546
01.07.1994;0;-0.78964233;-1.011487;210.2895781;-1.028110573;-0.721417762;-0.80044709;-0.924932622;-1.105601772;35.23210615;105.1438642;210.8067536;167.8870277
01.08.1994;0;-1.284729;-0.8468487;-188.1543372;-0.762817782;-0.515931747;-0.772321447;-0.765126404;-0.872981528;-259.4739112;-224.1156342;-115.2502981;-25.59840936
01.09.1994;0;-2.8529053;-0.36582488;-224.7420546;-0.28698723;-0.418062939;-0.390643947;-0.3717477;-0.381987024;-146.426517;-166.3045574;-159.0024177;-40.42225266
01.10.1994;1;-2.6903992;0.19700474;6.235406275;0.260164984;0.251592755;0.524635241;0.306678321;0.401882891;22.80808352;29.46362222;-3.69502391;-28.44194183
01.11.1994;1;-4.714813;-0.016772836;157.7677724;0.12755978;0.034445607;0.051090598;0.071116914;0.013254776;155.5294221;171.7563153;85.52123994;-2.743403274
01.12.1994;1;-4.240753;-0.4003454;109.9984339;-0.250359318;-0.293589316;-0.482151953;-0.33139047;-0.430457967;52.95195213;75.95121981;95.33084182;71.5766018
01.01.1995;1;-2.9331055;-0.46021834;-91.81732928;-0.263248108;-0.301142119;-0.146879072;-0.293240929;-0.335974762;-160.5861479;-131.3860783;-75.63476768;-25.8075017
01.02.1995;1;-0.0410614;-0.6216217;-162.7144556;-0.429467081;-1.229866646;-0.676468345;-0.406785823;-0.49958426;-279.3771942;-244.4680539;-104.0233386;-33.38276854
01.03.1995;0;-2.3841705;-0.48046955;-185.6698179;-0.313190921;-0.761982408;-0.487576864;-0.387939584;-0.594218996;-332.9796978;-290.6296859;-117.5053715;-34.60986404
01.04.1995;0;1.7492371;-0.34578496;-346.4053061;-0.212460881;-0.448237447;-0.180075325;-0.068999471;0.06870873;-546.3084793;-509.569793;-223.4633181;-65.77940762
01.05.1995;0;-0.36849976;0.12026505;-257.0700306;0.223375706;0.470454081;0.36100873;0.403478033;0.392086551;-396.5559658;-364.9993435;-174.6117212;-41.81751668
01.06.1995;0;-0.26556396;0.5753572;-91.03205608;0.621531236;0.328546909;0.28594826;0.57864681;0.591643663;-190.9593207;-158.6231703;-38.60456622;1.383957047
01.07.1995;0;-0.07382202;0.08345941;-137.7278973;0.092015566;-0.139921909;-0.018566412;0.144245151;0.044240777;-213.1357782;-213.352537;-65.88917471;-21.83905548
01.08.1995;0;-0.4151001;-0.16800094;-209.3127991;-0.059178558;-0.17992117;-0.113094116;-0.039724766;-0.093751522;-256.4315539;-256.6576097;-134.1672658;-40.62891078
01.09.1995;0;-0.3986206;0.051670752;-199.6905696;0.149217486;0.084148502;0.089220849;0.068814136;-0.036605637;-181.9326253;-201.213118;-145.5694096;-37.86253189
01.10.1995;1;-0.6328125;-0.09233311;-16.46320472;-0.020989118;-0.251626866;-0.135044525;-0.154938843;-0.225441344;-86.60182487;-67.14186314;-8.596745063;-32.39335168
01.11.1995;1;-1.1203613;0.06869861;196.8672206;0.190356394;0.027573018;0.131558249;0.080418087;0.03967288;196.9206809;202.7799218;150.0641623;50.65843111
01.12.1995;1;-2.9031372;0.05961751;122.0875034;0.197092346;0.33345647;0.143053637;0.255596844;0.161185217;162.7607491;161.1750233;99.87891177;92.05371388
01.01.1996;1;-1.7286224;0.08703238;-61.02038136;0.280762746;0.377003579;0.329612471;0.260735536;0.239629079;-13.6341503;-14.59358485;-57.96261602;-20.38619427
01.02.1996;1;-1.6100464;0.034297865;-71.8844273;0.204816666;0.126638191;0.047890681;0.098279948;0.188438486;20.66888773;-3.3684992;-84.28986722;-31.91779267
01.03.1996;0;-1.0118713;0.18598634;-126.2182731;0.350404099;0.300740333;0.058809697;0.124007044;0.133642991;-89.66592494;-108.7596934;-100.2107459;-30.34681636
01.04.1996;0;-0.43701172;0.37038136;-106.3950641;0.511404908;0.619436449;0.478946518;0.360696079;0.403474755;-81.41600329;-79.9946836;-89.21576775;-26.19067567
01.05.1996;0;-1.0775757;0.48113498;-36.97763956;0.543353778;0.665044269;0.413935174;0.42555474;0.440333351;55.98802729;25.64508516;-33.0365721;0.220536407
01.06.1996;0;-0.8126221;0.15539509;276.5978187;0.182081017;0.237046726;-0.010230945;0.051211852;-0.054444857;244.3878955;283.5307787;237.8004772;118.8621421
01.07.1996;0;-0.51449585;0.33331165;435.7608544;0.300511246;0.109600385;0.343179837;0.288532016;0.208990418;348.9996236;419.5479362;384.2261853;164.4671656
01.08.1996;0;-1.0013428;0.05664733;58.17091852;0.095270774;-0.090512639;0.210855681;0.276205725;0.158380668;-41.55254121;43.409042;20.41590871;-20.83988413
01.09.1996;0;-2.7764282;0.33343196;9.374159873;0.417147425;0.547151853;0.369412663;0.396433469;0.369705752;-38.35139431;-12.81221166;-29.2754969;-29.92736926
01.10.1996;1;-4.125;0.056016248;255.0053691;0.140808441;0.488328975;0.264623763;0.294507732;0.301663518;250.1056977;257.2235437;195.8268319;-3.870090444
01.11.1996;1;0.874115;0.16000408;-3.359476319;0.253813013;0.142705978;0.414656662;0.316024751;0.274772879;-75.71851011;-58.82042791;22.85970844;4.902662258
01.12.1996;1;-2.3860016;0.37214887;-13.47325307;0.459466674;0.547895949;0.39429378;0.364974872;0.42399278;103.1834784;30.06222869;-10.97213021;15.35236408
01.01.1997;1;-3.7935028;0.520622;-81.5111706;0.69830759;1.042264005;0.604453499;0.54033865;0.666391315;180.2866984;10.27766703;-83.96414021;-30.76251999
01.02.1997;1;-2.4188843;0.1881465;-45.62836199;0.346171894;0.448586333;0.376293688;0.335492573;0.470095734;187.0750824;74.40827959;-66.71757089;-26.67159099
01.03.1997;0;1.4348755;-0.059899583;-95.2661185;0.114774914;-0.085391292;0.1353279;0.132365365;0.263684186;41.01194346;-14.5738732;-90.96343714;-28.36525952
